Timestamp,UE4Editor-AnalyticsET.dll,UE4Editor-ApplicationCore.dll,UE4Editor-AssetRegistry.dll,UE4Editor-Core.dll,UE4Editor-CoreUObject.dll,UE4Editor-DerivedDataCache.dll,UE4Editor-Engine.dll,UE4Editor-GameProjectGeneration.dll,UE4Editor-Json.dll,UE4Editor-MediaUtils.dll,UE4Editor-Projects.dll,UE4Editor-PropertyEditor.dll,UE4Editor-RHI.dll,UE4Editor-RenderCore.dll,UE4Editor-SequenceRecorder.dll,UE4Editor-Slate.dll,UE4Editor-SlateCore.dll,UE4Editor-TargetPlatform.dll,UE4Editor-UnrealEd.dll,UE4Editor.exe
6.5,0,1,0,122,37,1,5,0,0,0,3,0,1,18,0,1,0,2,0,465
6.6,0,1,0,126,40,1,5,0,0,0,3,0,1,18,0,1,0,2,0,468
6.7,0,1,0,129,43,1,5,0,0,0,3,0,1,18,0,1,0,2,0,472
6.8,0,1,0,132,45,1,5,0,0,0,3,0,1,18,0,1,0,2,0,477
6.9,0,1,0,135,48,1,5,0,0,0,3,0,1,18,0,1,0,2,0,481
7,0,1,0,136,49,1,5,0,0,0,3,0,1,18,0,1,0,2,0,489
7.1,0,1,0,137,50,1,5,0,0,0,3,0,1,18,0,1,0,2,0,497
7.2,0,1,0,137,50,1,5,0,0,0,3,0,1,18,0,1,0,2,0,507
7.3,0,1,0,138,50,1,5,0,0,0,3,0,1,18,0,1,1,2,0,515
7.4,0,1,0,139,52,1,5,0,0,0,3,0,1,18,0,1,1,2,0,522
7.5,0,1,0,140,53,1,5,0,0,0,3,0,1,18,0,1,1,2,0,530
7.6,0,1,0,140,55,1,5,0,0,0,3,0,1,19,0,1,1,2,0,537
7.7,0,1,0,145,55,1,5,0,0,0,3,0,1,20,0,1,1,2,0,541
7.8,0,1,0,148,56,1,6,0,0,0,3,0,1,20,0,1,1,2,0,546
7.9,0,1,0,150,57,1,6,0,0,0,3,0,1,20,0,1,1,2,0,553
8,0,1,0,150,59,1,6,0,0,0,3,0,1,20,0,1,1,2,0,561
8.1,0,1,0,150,62,1,6,0,0,0,3,0,1,20,0,1,1,2,0,568
8.2,1,1,0,150,62,1,8,0,0,0,3,0,1,20,0,1,1,2,0,575
8.3,1,1,0,152,65,1,8,0,0,0,3,0,1,20,0,1,1,2,0,580
8.4,1,1,0,153,66,1,8,0,0,0,3,0,1,20,0,1,1,2,0,588
8.5,1,1,0,154,68,1,8,0,0,0,3,0,1,20,0,1,1,2,0,595
8.6,1,1,0,154,68,1,8,0,0,0,3,0,1,20,0,1,1,2,0,605
8.7,1,1,0,154,68,1,8,0,0,0,3,0,1,20,0,1,1,2,0,615
8.8,1,1,0,154,70,1,8,0,0,0,3,0,1,20,0,1,1,2,0,623
8.9,1,1,0,156,70,1,8,0,0,0,3,0,1,20,0,1,1,2,0,631
9,1,1,0,158,71,1,8,0,0,0,3,0,1,20,0,1,1,2,0,638
9.1,1,1,0,158,72,1,8,0,0,0,3,0,1,21,0,1,2,2,0,645
9.2,1,1,0,159,72,1,8,0,0,0,3,0,1,21,0,1,2,2,0,654
9.3,1,1,0,159,72,1,8,0,0,0,3,0,1,21,0,1,4,2,0,662
9.4,2,1,0,162,72,1,8,0,1,0,3,0,1,21,0,1,4,2,0,667
9.5,2,1,0,168,72,1,9,0,1,0,3,0,1,22,0,1,4,2,0,669
9.6,2,1,0,173,72,1,9,0,1,0,3,0,1,24,0,1,4,2,0,672
9.7,2,1,0,176,72,1,9,0,1,0,3,0,1,27,0,1,4,2,0,676
9.8,2,1,0,180,72,1,9,0,1,0,3,0,1,32,0,1,4,2,0,677
9.9,2,1,0,184,72,1,9,0,1,0,3,0,1,34,0,1,4,2,0,681
10,2,1,0,194,72,1,9,0,1,0,3,0,1,34,0,1,4,2,0,681
10.1,2,1,0,204,72,1,9,0,1,0,3,0,1,34,0,1,4,2,0,681
10.2,2,1,0,208,72,1,10,0,1,0,3,0,1,35,0,1,4,2,0,685
10.3,2,1,0,210,72,1,10,0,1,0,3,0,1,37,0,1,4,2,0,691
10.4,2,1,0,213,72,1,12,0,1,0,3,0,1,40,0,1,4,2,0,693
10.5,2,1,0,218,72,1,13,0,1,0,3,0,1,41,0,1,4,2,0,696
10.6,2,1,0,226,72,1,13,0,1,0,3,0,1,41,0,1,4,2,0,698
10.7,2,1,0,229,72,1,15,0,1,0,3,0,1,46,0,1,4,2,0,698
10.8,2,1,0,233,72,1,15,0,1,0,3,0,1,48,0,1,4,2,0,702
10.9,2,1,0,237,72,1,17,0,1,0,3,0,1,51,0,1,4,2,0,703
11,2,1,0,242,72,1,17,0,1,0,3,0,1,53,0,1,4,2,0,706
11.1,2,1,0,245,72,1,19,0,1,0,3,0,1,55,0,1,4,2,0,709
11.2,2,1,0,253,72,1,19,0,1,0,3,0,1,56,0,1,4,2,0,710
11.3,2,1,0,262,72,1,19,0,1,0,3,0,1,56,0,1,4,2,0,711
11.4,2,1,0,266,72,1,19,0,1,0,3,0,1,58,0,1,4,2,0,715
11.5,2,1,0,269,72,1,19,0,1,0,3,0,1,59,0,1,4,2,0,721
11.6,2,1,0,272,72,1,19,0,1,0,3,0,1,61,0,1,4,3,0,725
11.7,2,1,0,277,72,1,20,0,1,0,3,0,1,65,0,1,4,3,0,725
11.8,2,1,0,281,72,1,20,0,1,0,3,0,1,70,0,1,4,3,0,726
11.9,2,1,0,285,72,1,20,0,1,0,3,0,1,72,0,1,4,3,0,730
12,2,1,0,294,72,1,20,0,1,0,3,0,1,72,0,1,4,3,0,731
12.1,2,1,0,304,72,1,20,0,1,0,3,0,1,72,0,1,4,3,0,731
12.2,2,1,0,306,72,1,22,0,1,0,3,0,1,72,0,1,4,3,0,737
12.3,2,1,0,307,72,1,22,0,1,0,3,0,1,73,0,1,4,3,0,745
12.4,2,1,0,310,72,1,23,0,1,0,3,1,1,73,0,1,4,3,0,750
12.5,2,1,0,310,72,1,23,0,1,0,3,1,1,73,0,1,4,3,0,760
12.6,2,1,0,310,72,1,23,0,1,0,3,1,1,73,0,1,4,3,0,770
12.7,2,1,0,310,72,1,23,0,1,0,3,1,1,73,0,1,4,3,0,780
12.8,2,1,0,310,72,1,23,0,1,0,3,1,1,73,0,1,4,3,0,790
12.9,2,1,0,310,72,1,23,0,1,0,4,1,1,73,0,1,4,3,0,799
13,2,1,0,310,72,1,23,0,1,0,6,1,1,73,0,1,4,3,0,807
13.1,2,1,0,310,72,1,23,0,1,0,7,1,1,73,0,1,4,3,0,816
13.2,2,1,0,310,72,1,23,0,1,0,9,1,1,73,0,1,4,3,0,824
13.3,2,1,0,310,72,1,23,0,1,0,9,1,1,73,0,1,4,3,0,834
13.4,2,1,0,310,72,1,23,0,1,0,9,1,1,73,0,1,4,3,0,844
13.5,2,1,0,310,72,1,23,0,1,0,11,1,1,73,0,1,4,3,0,852
